"beta_prior","tau_prior","mean_pred_prob"
"normal(0, 1)","normal+(0, 20)",0.796296296296296
"normal(0, 1.5)","normal+(0, 5)",0.657407407407407
"normal(0, 1.5)","normal+(0, 10)",0.277777777777778
"normal(0, 1.5)","normal+(0, 20)",0.796296296296296
"normal(0, 2)","normal+(0, 5)",0.486111111111111
"normal(0, 2)","normal+(0, 10)",0.833333333333333
"normal(0, 2)","normal+(0, 20)",0.375
"normal(0, 1)","normal+(0, 5)",0.550925925925926
"normal(0, 1)","normal+(0, 10)",0.560185185185185
"normal(0, 1)","normal+(0, 20)",0.532407407407407
"normal(0, 1.5)","normal+(0, 5)",0.5
"normal(0, 1.5)","normal+(0, 10)",0.425925925925926
"normal(0, 1.5)","normal+(0, 20)",0.472222222222222
"normal(0, 2)","normal+(0, 5)",0.736111111111111
"normal(0, 2)","normal+(0, 10)",0.416666666666667
"normal(0, 2)","normal+(0, 20)",0.449074074074074
"normal(0, 1)","normal+(0, 5)",0.462962962962963
"normal(0, 1)","normal+(0, 10)",0.388888888888889
"normal(0, 1)","normal+(0, 20)",0.615740740740741
"normal(0, 1.5)","normal+(0, 5)",0.731481481481482
"normal(0, 1.5)","normal+(0, 10)",0.356481481481481
"normal(0, 1.5)","normal+(0, 20)",0.462962962962963
"normal(0, 2)","normal+(0, 5)",0.5
"normal(0, 2)","normal+(0, 10)",0.537037037037037
"normal(0, 2)","normal+(0, 20)",0.328703703703704
"normal(0, 1)","normal+(0, 5)",0.444444444444444
"normal(0, 1)","normal+(0, 10)",0.416666666666667
"normal(0, 1)","normal+(0, 20)",0.162037037037037
"normal(0, 1.5)","normal+(0, 5)",0.638888888888889
"normal(0, 1.5)","normal+(0, 10)",0.412037037037037
"normal(0, 1.5)","normal+(0, 20)",0.458333333333333
"normal(0, 2)","normal+(0, 5)",0.458333333333333
"normal(0, 2)","normal+(0, 10)",0.666666666666667
"normal(0, 2)","normal+(0, 20)",0.555555555555556
"normal(0, 1)","normal+(0, 5)",0.541666666666667
"normal(0, 1)","normal+(0, 10)",0.587962962962963
"normal(0, 1)","normal+(0, 20)",0.657407407407407
"normal(0, 1.5)","normal+(0, 5)",0.592592592592593
"normal(0, 1.5)","normal+(0, 10)",0.736111111111111
"normal(0, 1.5)","normal+(0, 20)",0.583333333333333
"normal(0, 2)","normal+(0, 5)",0.550925925925926
"normal(0, 2)","normal+(0, 10)",0.481481481481481
"normal(0, 2)","normal+(0, 20)",0.402777777777778
"normal(0, 1)","normal+(0, 5)",0.375
"normal(0, 1)","normal+(0, 10)",0.490740740740741
"normal(0, 1)","normal+(0, 20)",0.666666666666667
"normal(0, 1.5)","normal+(0, 5)",0.444444444444444
"normal(0, 1.5)","normal+(0, 10)",0.62962962962963
"normal(0, 1.5)","normal+(0, 20)",0.240740740740741
"normal(0, 2)","normal+(0, 5)",0.416666666666667
"normal(0, 2)","normal+(0, 10)",0.444444444444444
"normal(0, 2)","normal+(0, 20)",0.587962962962963
"normal(0, 1)","normal+(0, 5)",0.481481481481481
"normal(0, 1)","normal+(0, 10)",0.689814814814815
"normal(0, 1)","normal+(0, 20)",0.444444444444444
"normal(0, 1.5)","normal+(0, 5)",0.587962962962963
"normal(0, 1.5)","normal+(0, 10)",0.662037037037037
"normal(0, 1.5)","normal+(0, 20)",0.828703703703704
"normal(0, 2)","normal+(0, 5)",0.37037037037037
"normal(0, 2)","normal+(0, 10)",0.472222222222222
"normal(0, 2)","normal+(0, 20)",0.583333333333333
"normal(0, 1)","normal+(0, 5)",0.888888888888889
"normal(0, 1)","normal+(0, 10)",0.453703703703704
"normal(0, 1)","normal+(0, 20)",0.537037037037037
"normal(0, 1.5)","normal+(0, 5)",0.287037037037037
"normal(0, 1.5)","normal+(0, 10)",0.486111111111111
"normal(0, 1.5)","normal+(0, 20)",0.689814814814815
"normal(0, 2)","normal+(0, 5)",0.555555555555556
"normal(0, 2)","normal+(0, 10)",0.449074074074074
"normal(0, 2)","normal+(0, 20)",0.416666666666667
"normal(0, 1)","normal+(0, 5)",0.037037037037037
"normal(0, 1)","normal+(0, 10)",0.365740740740741
"normal(0, 1)","normal+(0, 20)",0.74537037037037
"normal(0, 1.5)","normal+(0, 5)",0.324074074074074
"normal(0, 1.5)","normal+(0, 10)",0.833333333333333
"normal(0, 1.5)","normal+(0, 20)",0.171296296296296
"normal(0, 2)","normal+(0, 5)",0.37962962962963
"normal(0, 2)","normal+(0, 10)",0.699074074074074
"normal(0, 2)","normal+(0, 20)",0.587962962962963
"normal(0, 1)","normal+(0, 5)",0.347222222222222
"normal(0, 1)","normal+(0, 10)",0.49537037037037
"normal(0, 1)","normal+(0, 20)",0.25
"normal(0, 1.5)","normal+(0, 5)",0.740740740740741
"normal(0, 1.5)","normal+(0, 10)",0.5
"normal(0, 1.5)","normal+(0, 20)",0.185185185185185
"normal(0, 2)","normal+(0, 5)",0.546296296296296
"normal(0, 2)","normal+(0, 10)",0.694444444444444
"normal(0, 2)","normal+(0, 20)",0.333333333333333
"normal(0, 1)","normal+(0, 5)",0.37962962962963
"normal(0, 1)","normal+(0, 10)",0.481481481481481
"normal(0, 1)","normal+(0, 20)",0.615740740740741
"normal(0, 1.5)","normal+(0, 5)",0.546296296296296
"normal(0, 1.5)","normal+(0, 10)",0.282407407407407
"normal(0, 1.5)","normal+(0, 20)",0.236111111111111
"normal(0, 2)","normal+(0, 5)",0.467592592592593
"normal(0, 2)","normal+(0, 10)",0.574074074074074
"normal(0, 2)","normal+(0, 20)",0.759259259259259
"normal(0, 1)","normal+(0, 5)",0.722222222222222
"normal(0, 1)","normal+(0, 10)",0.527777777777778
"normal(0, 1)","normal+(0, 20)",0.444444444444444
"normal(0, 1.5)","normal+(0, 5)",0.375
"normal(0, 1.5)","normal+(0, 10)",0.555555555555556
"normal(0, 1.5)","normal+(0, 20)",0.50462962962963
"normal(0, 2)","normal+(0, 5)",0.453703703703704
"normal(0, 2)","normal+(0, 10)",0.490740740740741
"normal(0, 2)","normal+(0, 20)",0.824074074074074
"normal(0, 1)","normal+(0, 5)",0.768518518518518
"normal(0, 1)","normal+(0, 10)",0.625
"normal(0, 1)","normal+(0, 20)",0.583333333333333
"normal(0, 1.5)","normal+(0, 5)",0.412037037037037
"normal(0, 1.5)","normal+(0, 10)",0.564814814814815
"normal(0, 1.5)","normal+(0, 20)",0.166666666666667
"normal(0, 2)","normal+(0, 5)",0.430555555555556
"normal(0, 2)","normal+(0, 10)",0.342592592592593
"normal(0, 2)","normal+(0, 20)",0.37962962962963
"normal(0, 1)","normal+(0, 5)",0.310185185185185
"normal(0, 1)","normal+(0, 10)",0.472222222222222
"normal(0, 1)","normal+(0, 20)",0.509259259259259
"normal(0, 1.5)","normal+(0, 5)",0.666666666666667
"normal(0, 1.5)","normal+(0, 10)",0.449074074074074
"normal(0, 1.5)","normal+(0, 20)",0.513888888888889
"normal(0, 2)","normal+(0, 5)",0.699074074074074
"normal(0, 2)","normal+(0, 10)",0.787037037037037
"normal(0, 2)","normal+(0, 20)",0.842592592592593
"normal(0, 1)","normal+(0, 5)",0.462962962962963
"normal(0, 1)","normal+(0, 10)",0.587962962962963
"normal(0, 1)","normal+(0, 20)",0.513888888888889
"normal(0, 1.5)","normal+(0, 5)",0.476851851851852
"normal(0, 1.5)","normal+(0, 10)",0.523148148148148
"normal(0, 1.5)","normal+(0, 20)",0.490740740740741
"normal(0, 2)","normal+(0, 5)",0.347222222222222
"normal(0, 2)","normal+(0, 10)",0.277777777777778
"normal(0, 2)","normal+(0, 20)",0.351851851851852
"normal(0, 1)","normal+(0, 5)",0.453703703703704
"normal(0, 1)","normal+(0, 10)",0.671296296296296
"normal(0, 1)","normal+(0, 20)",0.402777777777778
"normal(0, 1.5)","normal+(0, 5)",0.541666666666667
"normal(0, 1.5)","normal+(0, 10)",0.5
"normal(0, 1.5)","normal+(0, 20)",0.412037037037037
"normal(0, 2)","normal+(0, 5)",0.819444444444444
"normal(0, 2)","normal+(0, 10)",0.601851851851852
"normal(0, 2)","normal+(0, 20)",0.5
"normal(0, 1)","normal+(0, 5)",0.268518518518519
"normal(0, 1)","normal+(0, 10)",0.634259259259259
"normal(0, 1)","normal+(0, 20)",0.259259259259259
"normal(0, 1.5)","normal+(0, 5)",0.486111111111111
"normal(0, 1.5)","normal+(0, 10)",0.509259259259259
"normal(0, 1.5)","normal+(0, 20)",0.587962962962963
"normal(0, 2)","normal+(0, 5)",0.25462962962963
"normal(0, 2)","normal+(0, 10)",0.481481481481481
"normal(0, 2)","normal+(0, 20)",0.458333333333333
"normal(0, 1)","normal+(0, 5)",0.736111111111111
"normal(0, 1)","normal+(0, 10)",0.356481481481481
"normal(0, 1)","normal+(0, 20)",0.291666666666667
"normal(0, 1.5)","normal+(0, 5)",0.287037037037037
"normal(0, 1.5)","normal+(0, 10)",0.634259259259259
"normal(0, 1.5)","normal+(0, 20)",0.439814814814815
"normal(0, 2)","normal+(0, 5)",0.171296296296296
"normal(0, 2)","normal+(0, 10)",0.37962962962963
"normal(0, 2)","normal+(0, 20)",0.546296296296296
"normal(0, 1)","normal+(0, 5)",0.699074074074074
"normal(0, 1)","normal+(0, 10)",0.555555555555556
"normal(0, 1)","normal+(0, 20)",0.666666666666667
"normal(0, 1.5)","normal+(0, 5)",0.328703703703704
"normal(0, 1.5)","normal+(0, 10)",0.523148148148148
"normal(0, 1.5)","normal+(0, 20)",0.5
"normal(0, 2)","normal+(0, 5)",0.37037037037037
"normal(0, 2)","normal+(0, 10)",0.50462962962963
"normal(0, 2)","normal+(0, 20)",0.578703703703704
"normal(0, 1)","normal+(0, 5)",0.421296296296296
"normal(0, 1)","normal+(0, 10)",0.62037037037037
"normal(0, 1)","normal+(0, 20)",0.0231481481481481
"normal(0, 1.5)","normal+(0, 5)",0.125
"normal(0, 1.5)","normal+(0, 10)",0.430555555555556
"normal(0, 1.5)","normal+(0, 20)",0.194444444444444
"normal(0, 2)","normal+(0, 5)",0.25
"normal(0, 2)","normal+(0, 10)",0.634259259259259
"normal(0, 2)","normal+(0, 20)",0.416666666666667
"normal(0, 1)","normal+(0, 5)",0.486111111111111
"normal(0, 1)","normal+(0, 10)",0.328703703703704
"normal(0, 1)","normal+(0, 20)",0.412037037037037
"normal(0, 1.5)","normal+(0, 5)",0.652777777777778
"normal(0, 1.5)","normal+(0, 10)",0.226851851851852
"normal(0, 1.5)","normal+(0, 20)",0.564814814814815
"normal(0, 2)","normal+(0, 5)",0.236111111111111
"normal(0, 2)","normal+(0, 10)",0.638888888888889
"normal(0, 2)","normal+(0, 20)",0.592592592592593
"normal(0, 1)","normal+(0, 5)",0.305555555555556
"normal(0, 1)","normal+(0, 10)",0.527777777777778
"normal(0, 1)","normal+(0, 20)",0.763888888888889
"normal(0, 1.5)","normal+(0, 5)",0.273148148148148
"normal(0, 1.5)","normal+(0, 10)",0.416666666666667
"normal(0, 1.5)","normal+(0, 20)",0.5
"normal(0, 2)","normal+(0, 5)",0.652777777777778
"normal(0, 2)","normal+(0, 10)",0.273148148148148
"normal(0, 2)","normal+(0, 20)",0.444444444444444
"normal(0, 1)","normal+(0, 5)",0.087962962962963
"normal(0, 1)","normal+(0, 10)",0.662037037037037
"normal(0, 1)","normal+(0, 20)",0.643518518518518
"normal(0, 1.5)","normal+(0, 5)",0.597222222222222
"normal(0, 1.5)","normal+(0, 10)",0.625
"normal(0, 1.5)","normal+(0, 20)",0.439814814814815
"normal(0, 2)","normal+(0, 5)",0.805555555555556
"normal(0, 2)","normal+(0, 10)",0.597222222222222
"normal(0, 2)","normal+(0, 20)",0.439814814814815
"normal(0, 1)","normal+(0, 5)",0.157407407407407
"normal(0, 1)","normal+(0, 10)",0.555555555555556
"normal(0, 1)","normal+(0, 20)",0.680555555555556
"normal(0, 1.5)","normal+(0, 5)",0.62037037037037
"normal(0, 1.5)","normal+(0, 10)",0.467592592592593
"normal(0, 1.5)","normal+(0, 20)",0.5
"normal(0, 2)","normal+(0, 5)",0.819444444444444
"normal(0, 2)","normal+(0, 10)",0.486111111111111
"normal(0, 2)","normal+(0, 20)",0.5
"normal(0, 1)","normal+(0, 5)",0.24537037037037
"normal(0, 1)","normal+(0, 10)",0.541666666666667
"normal(0, 1)","normal+(0, 20)",0.578703703703704
"normal(0, 1.5)","normal+(0, 5)",0.726851851851852
"normal(0, 1.5)","normal+(0, 10)",0.37037037037037
"normal(0, 1.5)","normal+(0, 20)",0.5
"normal(0, 2)","normal+(0, 5)",0.712962962962963
"normal(0, 2)","normal+(0, 10)",0.333333333333333
"normal(0, 2)","normal+(0, 20)",0.444444444444444
"normal(0, 1)","normal+(0, 5)",0.662037037037037
"normal(0, 1)","normal+(0, 10)",0.125
"normal(0, 1)","normal+(0, 20)",0.203703703703704
"normal(0, 1.5)","normal+(0, 5)",0.351851851851852
"normal(0, 1.5)","normal+(0, 10)",0.388888888888889
"normal(0, 1.5)","normal+(0, 20)",0.5
"normal(0, 2)","normal+(0, 5)",0.810185185185185
"normal(0, 2)","normal+(0, 10)",0.365740740740741
"normal(0, 2)","normal+(0, 20)",0.333333333333333
"normal(0, 1)","normal+(0, 5)",0.277777777777778
"normal(0, 1)","normal+(0, 10)",0.25462962962963
"normal(0, 1)","normal+(0, 20)",0.546296296296296
"normal(0, 1.5)","normal+(0, 5)",0.486111111111111
"normal(0, 1.5)","normal+(0, 10)",0.236111111111111
"normal(0, 1.5)","normal+(0, 20)",0.416666666666667
"normal(0, 2)","normal+(0, 5)",0.259259259259259
"normal(0, 2)","normal+(0, 10)",0.490740740740741
"normal(0, 2)","normal+(0, 20)",0.828703703703704
"normal(0, 1)","normal+(0, 5)",0.625
"normal(0, 1)","normal+(0, 10)",0.217592592592593
"normal(0, 1)","normal+(0, 20)",0.333333333333333
"normal(0, 1.5)","normal+(0, 5)",0.467592592592593
"normal(0, 1.5)","normal+(0, 10)",0.597222222222222
"normal(0, 1.5)","normal+(0, 20)",0.578703703703704
"normal(0, 2)","normal+(0, 5)",0.203703703703704
"normal(0, 2)","normal+(0, 10)",0.416666666666667
"normal(0, 2)","normal+(0, 20)",0.277777777777778
"normal(0, 1)","normal+(0, 5)",0.523148148148148
"normal(0, 1)","normal+(0, 10)",0.75462962962963
"normal(0, 1)","normal+(0, 20)",0.62962962962963
"normal(0, 1.5)","normal+(0, 5)",0.337962962962963
"normal(0, 1.5)","normal+(0, 10)",0.310185185185185
"normal(0, 1.5)","normal+(0, 20)",0.75
"normal(0, 2)","normal+(0, 5)",0.138888888888889
"normal(0, 2)","normal+(0, 10)",0.481481481481481
"normal(0, 2)","normal+(0, 20)",0.712962962962963
"normal(0, 1)","normal+(0, 5)",0.564814814814815
"normal(0, 1)","normal+(0, 10)",0.328703703703704
"normal(0, 1)","normal+(0, 20)",0.666666666666667
"normal(0, 1.5)","normal+(0, 5)",0.523148148148148
"normal(0, 1.5)","normal+(0, 10)",0.439814814814815
"normal(0, 1.5)","normal+(0, 20)",0.717592592592593
"normal(0, 2)","normal+(0, 5)",0.157407407407407
"normal(0, 2)","normal+(0, 10)",0.439814814814815
"normal(0, 2)","normal+(0, 20)",0.25
"normal(0, 1)","normal+(0, 5)",0.430555555555556
"normal(0, 1)","normal+(0, 10)",0.638888888888889
"normal(0, 1)","normal+(0, 20)",0.666666666666667
"normal(0, 1.5)","normal+(0, 5)",0.675925925925926
"normal(0, 1.5)","normal+(0, 10)",0.787037037037037
"normal(0, 1.5)","normal+(0, 20)",0.50462962962963
"normal(0, 2)","normal+(0, 5)",0.50462962962963
"normal(0, 2)","normal+(0, 10)",0.412037037037037
"normal(0, 2)","normal+(0, 20)",0.666666666666667
"normal(0, 1)","normal+(0, 5)",0.24537037037037
"normal(0, 1)","normal+(0, 10)",0.37962962962963
"normal(0, 1)","normal+(0, 20)",0.347222222222222
"normal(0, 1.5)","normal+(0, 5)",0.842592592592593
"normal(0, 1.5)","normal+(0, 10)",0.569444444444444
"normal(0, 1.5)","normal+(0, 20)",0
"normal(0, 2)","normal+(0, 5)",0.615740740740741
"normal(0, 2)","normal+(0, 10)",0.37037037037037
"normal(0, 2)","normal+(0, 20)",0.657407407407407
"normal(0, 1)","normal+(0, 5)",0.611111111111111
"normal(0, 1)","normal+(0, 10)",0.481481481481481
"normal(0, 1)","normal+(0, 20)",0.597222222222222
"normal(0, 1.5)","normal+(0, 5)",0.662037037037037
"normal(0, 1.5)","normal+(0, 10)",0.416666666666667
"normal(0, 1.5)","normal+(0, 20)",0.800925925925926
"normal(0, 2)","normal+(0, 5)",0.333333333333333
"normal(0, 2)","normal+(0, 10)",0.606481481481482
"normal(0, 2)","normal+(0, 20)",0.407407407407407
"normal(0, 1)","normal+(0, 5)",0.712962962962963
"normal(0, 1)","normal+(0, 10)",0.444444444444444
"normal(0, 1)","normal+(0, 20)",0.615740740740741
"normal(0, 1.5)","normal+(0, 5)",0.305555555555556
"normal(0, 1.5)","normal+(0, 10)",0.430555555555556
"normal(0, 1.5)","normal+(0, 20)",0.99537037037037
"normal(0, 2)","normal+(0, 5)",0.472222222222222
"normal(0, 2)","normal+(0, 10)",0.759259259259259
"normal(0, 2)","normal+(0, 20)",0.527777777777778
"normal(0, 1)","normal+(0, 5)",0.560185185185185
"normal(0, 1)","normal+(0, 10)",0.513888888888889
"normal(0, 1)","normal+(0, 20)",0.49537037037037
"normal(0, 1.5)","normal+(0, 5)",0.444444444444444
"normal(0, 1.5)","normal+(0, 10)",0.736111111111111
"normal(0, 1.5)","normal+(0, 20)",0.541666666666667
"normal(0, 2)","normal+(0, 5)",0.532407407407407
"normal(0, 2)","normal+(0, 10)",0.75
"normal(0, 2)","normal+(0, 20)",0.444444444444444
"normal(0, 1)","normal+(0, 5)",0.300925925925926
"normal(0, 1)","normal+(0, 10)",0.24537037037037
"normal(0, 1)","normal+(0, 20)",0.453703703703704
"normal(0, 1.5)","normal+(0, 5)",0.523148148148148
"normal(0, 1.5)","normal+(0, 10)",0.643518518518518
"normal(0, 1.5)","normal+(0, 20)",0.541666666666667
"normal(0, 2)","normal+(0, 5)",0.49537037037037
"normal(0, 2)","normal+(0, 10)",0.189814814814815
"normal(0, 2)","normal+(0, 20)",0.393518518518519
"normal(0, 1)","normal+(0, 5)",0.509259259259259
"normal(0, 1)","normal+(0, 10)",0.384259259259259
"normal(0, 1)","normal+(0, 20)",0.611111111111111
"normal(0, 1.5)","normal+(0, 5)",0.597222222222222
"normal(0, 1.5)","normal+(0, 10)",0.398148148148148
"normal(0, 1.5)","normal+(0, 20)",0.486111111111111
"normal(0, 2)","normal+(0, 5)",0.481481481481481
"normal(0, 2)","normal+(0, 10)",0.509259259259259
"normal(0, 2)","normal+(0, 20)",0.666666666666667
"normal(0, 1)","normal+(0, 5)",0.643518518518518
"normal(0, 1)","normal+(0, 10)",0.407407407407407
"normal(0, 1)","normal+(0, 20)",0.523148148148148
"normal(0, 1.5)","normal+(0, 5)",0.300925925925926
"normal(0, 1.5)","normal+(0, 10)",0.282407407407407
"normal(0, 1.5)","normal+(0, 20)",0.5
"normal(0, 2)","normal+(0, 5)",0.578703703703704
"normal(0, 2)","normal+(0, 10)",0.555555555555556
"normal(0, 2)","normal+(0, 20)",0.537037037037037
"normal(0, 1)","normal+(0, 5)",0.305555555555556
"normal(0, 1)","normal+(0, 10)",0.412037037037037
"normal(0, 1)","normal+(0, 20)",0.24537037037037
"normal(0, 1.5)","normal+(0, 5)",0.805555555555556
"normal(0, 1.5)","normal+(0, 10)",0.5
"normal(0, 1.5)","normal+(0, 20)",0.375
"normal(0, 2)","normal+(0, 5)",0.393518518518519
"normal(0, 2)","normal+(0, 10)",0.365740740740741
"normal(0, 2)","normal+(0, 20)",0.560185185185185
"normal(0, 1)","normal+(0, 5)",0.921296296296296
"normal(0, 1)","normal+(0, 10)",0.412037037037037
"normal(0, 1)","normal+(0, 20)",0.833333333333333
"normal(0, 1.5)","normal+(0, 5)",0.199074074074074
"normal(0, 1.5)","normal+(0, 10)",0.546296296296296
"normal(0, 1.5)","normal+(0, 20)",0.5
"normal(0, 2)","normal+(0, 5)",0.578703703703704
"normal(0, 2)","normal+(0, 10)",0.675925925925926
"normal(0, 2)","normal+(0, 20)",0.634259259259259
"normal(0, 1)","normal+(0, 5)",0.148148148148148
"normal(0, 1)","normal+(0, 10)",0.699074074074074
"normal(0, 1)","normal+(0, 20)",0.736111111111111
"normal(0, 1.5)","normal+(0, 5)",0.212962962962963
"normal(0, 1.5)","normal+(0, 10)",0.347222222222222
"normal(0, 1.5)","normal+(0, 20)",0.319444444444444
"normal(0, 2)","normal+(0, 5)",0.652777777777778
"normal(0, 2)","normal+(0, 10)",0.675925925925926
"normal(0, 2)","normal+(0, 20)",0.407407407407407
"normal(0, 1)","normal+(0, 5)",0.643518518518518
"normal(0, 1)","normal+(0, 10)",0.601851851851852
"normal(0, 1)","normal+(0, 20)",0.462962962962963
"normal(0, 1.5)","normal+(0, 5)",0.458333333333333
"normal(0, 1.5)","normal+(0, 10)",0.555555555555556
"normal(0, 1.5)","normal+(0, 20)",0.50462962962963
"normal(0, 2)","normal+(0, 5)",0.726851851851852
"normal(0, 2)","normal+(0, 10)",0.282407407407407
"normal(0, 2)","normal+(0, 20)",0.305555555555556
"normal(0, 1)","normal+(0, 5)",0.680555555555556
"normal(0, 1)","normal+(0, 10)",0.50462962962963
"normal(0, 1)","normal+(0, 20)",0.666666666666667
"normal(0, 1.5)","normal+(0, 5)",0.564814814814815
"normal(0, 1.5)","normal+(0, 10)",0.615740740740741
"normal(0, 1.5)","normal+(0, 20)",0.824074074074074
"normal(0, 2)","normal+(0, 5)",0.763888888888889
"normal(0, 2)","normal+(0, 10)",0.5
"normal(0, 2)","normal+(0, 20)",0.453703703703704
"normal(0, 1)","normal+(0, 5)",0.819444444444444
"normal(0, 1)","normal+(0, 10)",0.50462962962963
"normal(0, 1)","normal+(0, 20)",0.486111111111111
"normal(0, 1.5)","normal+(0, 5)",0.837962962962963
"normal(0, 1.5)","normal+(0, 10)",0.527777777777778
"normal(0, 1.5)","normal+(0, 20)",0.25462962962963
"normal(0, 2)","normal+(0, 5)",0.842592592592593
"normal(0, 2)","normal+(0, 10)",0.648148148148148
"normal(0, 2)","normal+(0, 20)",0.657407407407407
"normal(0, 1)","normal+(0, 5)",0.208333333333333
"normal(0, 1)","normal+(0, 10)",0.513888888888889
"normal(0, 1)","normal+(0, 20)",0.578703703703704
"normal(0, 1.5)","normal+(0, 5)",0.314814814814815
"normal(0, 1.5)","normal+(0, 10)",0.509259259259259
"normal(0, 1.5)","normal+(0, 20)",0.5
"normal(0, 2)","normal+(0, 5)",0.490740740740741
"normal(0, 2)","normal+(0, 10)",0.717592592592593
"normal(0, 2)","normal+(0, 20)",0.481481481481481
"normal(0, 1)","normal+(0, 5)",0.37962962962963
"normal(0, 1)","normal+(0, 10)",0.564814814814815
"normal(0, 1)","normal+(0, 20)",0.611111111111111
"normal(0, 1.5)","normal+(0, 5)",0.782407407407407
"normal(0, 1.5)","normal+(0, 10)",0.416666666666667
"normal(0, 1.5)","normal+(0, 20)",0.777777777777778
"normal(0, 2)","normal+(0, 5)",0.675925925925926
"normal(0, 2)","normal+(0, 10)",0.787037037037037
"normal(0, 2)","normal+(0, 20)",0.490740740740741
"normal(0, 1)","normal+(0, 5)",0.537037037037037
"normal(0, 1)","normal+(0, 10)",0.171296296296296
"normal(0, 1)","normal+(0, 20)",0.50462962962963
"normal(0, 1.5)","normal+(0, 5)",0.282407407407407
"normal(0, 1.5)","normal+(0, 10)",0.25462962962963
"normal(0, 1.5)","normal+(0, 20)",0.333333333333333
"normal(0, 2)","normal+(0, 5)",0.898148148148148
"normal(0, 2)","normal+(0, 10)",0.393518518518519
"normal(0, 2)","normal+(0, 20)",0.509259259259259
"normal(0, 1)","normal+(0, 5)",0.365740740740741
"normal(0, 1)","normal+(0, 10)",0.625
"normal(0, 1)","normal+(0, 20)",0.361111111111111
"normal(0, 1.5)","normal+(0, 5)",0.314814814814815
"normal(0, 1.5)","normal+(0, 10)",0.814814814814815
"normal(0, 1.5)","normal+(0, 20)",0.546296296296296
"normal(0, 2)","normal+(0, 5)",0.597222222222222
"normal(0, 2)","normal+(0, 10)",0.375
"normal(0, 2)","normal+(0, 20)",0.50462962962963
"normal(0, 1)","normal+(0, 5)",0.435185185185185
"normal(0, 1)","normal+(0, 10)",0.416666666666667
"normal(0, 1)","normal+(0, 20)",0.0324074074074074
"normal(0, 1.5)","normal+(0, 5)",0.356481481481481
"normal(0, 1.5)","normal+(0, 10)",0.347222222222222
"normal(0, 1.5)","normal+(0, 20)",0.523148148148148
"normal(0, 2)","normal+(0, 5)",0.546296296296296
"normal(0, 2)","normal+(0, 10)",0.541666666666667
"normal(0, 2)","normal+(0, 20)",0.703703703703704
"normal(0, 1)","normal+(0, 5)",0.569444444444444
"normal(0, 1)","normal+(0, 10)",0.435185185185185
"normal(0, 1)","normal+(0, 20)",0.740740740740741
"normal(0, 1.5)","normal+(0, 5)",0.194444444444444
"normal(0, 1.5)","normal+(0, 10)",0.662037037037037
"normal(0, 1.5)","normal+(0, 20)",0.388888888888889
"normal(0, 2)","normal+(0, 5)",0.421296296296296
"normal(0, 2)","normal+(0, 10)",0.37037037037037
"normal(0, 2)","normal+(0, 20)",0.62037037037037
"normal(0, 1)","normal+(0, 5)",0.439814814814815
"normal(0, 1)","normal+(0, 10)",0.398148148148148
"normal(0, 1)","normal+(0, 20)",0.263888888888889
"normal(0, 1.5)","normal+(0, 5)",0.435185185185185
"normal(0, 1.5)","normal+(0, 10)",0.0833333333333333
"normal(0, 1.5)","normal+(0, 20)",0.518518518518518
"normal(0, 2)","normal+(0, 5)",0.462962962962963
"normal(0, 2)","normal+(0, 10)",0.638888888888889
"normal(0, 2)","normal+(0, 20)",0.638888888888889
"normal(0, 1)","normal+(0, 5)",0.486111111111111
"normal(0, 1)","normal+(0, 10)",0.384259259259259
"normal(0, 1)","normal+(0, 20)",0.537037037037037
"normal(0, 1.5)","normal+(0, 5)",0.833333333333333
"normal(0, 1.5)","normal+(0, 10)",0.828703703703704
"normal(0, 1.5)","normal+(0, 20)",0.467592592592593
"normal(0, 2)","normal+(0, 5)",0.759259259259259
"normal(0, 2)","normal+(0, 10)",0.689814814814815
"normal(0, 2)","normal+(0, 20)",0.601851851851852
"normal(0, 1)","normal+(0, 5)",0.37962962962963
"normal(0, 1)","normal+(0, 10)",0.615740740740741
"normal(0, 1)","normal+(0, 20)",0.5
"normal(0, 1.5)","normal+(0, 5)",0.731481481481482
"normal(0, 1.5)","normal+(0, 10)",0.347222222222222
"normal(0, 1.5)","normal+(0, 20)",0.703703703703704
"normal(0, 2)","normal+(0, 5)",0.356481481481481
"normal(0, 2)","normal+(0, 10)",0.666666666666667
"normal(0, 2)","normal+(0, 20)",0.583333333333333
"normal(0, 1)","normal+(0, 5)",0.527777777777778
"normal(0, 1)","normal+(0, 10)",0.347222222222222
"normal(0, 1)","normal+(0, 20)",0.583333333333333
"normal(0, 1.5)","normal+(0, 5)",0.634259259259259
"normal(0, 1.5)","normal+(0, 10)",0.759259259259259
"normal(0, 1.5)","normal+(0, 20)",0.240740740740741
"normal(0, 2)","normal+(0, 5)",0.694444444444444
"normal(0, 2)","normal+(0, 10)",0.49537037037037
"normal(0, 2)","normal+(0, 20)",0.402777777777778
"normal(0, 1)","normal+(0, 5)",0.546296296296296
"normal(0, 1)","normal+(0, 10)",0.703703703703704
"normal(0, 1)","normal+(0, 20)",0.518518518518518
"normal(0, 1.5)","normal+(0, 5)",0.583333333333333
"normal(0, 1.5)","normal+(0, 10)",0.259259259259259
"normal(0, 1.5)","normal+(0, 20)",0.342592592592593
"normal(0, 2)","normal+(0, 5)",0.25
"normal(0, 2)","normal+(0, 10)",0.384259259259259
